topic,question_text,answer,difficulty,hints,explanation
PMS,GIPS advertisement guidelines require disclosure of appropriate composite _____ return.,benchmark,easy,comparison,Benchmark return must be disclosed.
PMS,GIPS advertisements must specify the _____ used to express performance.,currency,easy,clarity,Currency disclosure is mandatory.
PMS,PMS advertisements must show at least _____ years of performance.,five,easy,history,Minimum five years or since inception.
PMS,Assets are broadly classified into financial and _____ assets.,physical,easy,classification,Assets are financial or physical.
PMS,Shares and debentures are examples of _____ assets.,financial,easy,investment,These are financial instruments.
PMS,Gold and real estate are examples of _____ assets.,physical,easy,tangible,They are physical assets.
PMS,NRIs can open a Demat account in India without _____ permission.,RBI,easy,NRI,No RBI approval needed.
PMS,PMS registration focuses on grievance redressal and _____ systems.,accounting,easy,compliance,Accounting systems are evaluated.
PMS,PMS registration does not require disclosure of _____ models.,forecasting,medium,investment,Forecasting models are not asked.
PMS,"If a client fails to meet _____ requirements, transactions cannot be carried out.",PMLA,easy,compliance,PMLA compliance is mandatory.
PMS,A portfolio manager cannot borrow or _____ client securities.,pledge,easy,restriction,Client securities cannot be pledged.
PMS,Any funding shortfall must be met using PMS’s _____ resources.,own,easy,liability,PMS uses own resources.
PMS,Compensation for postponement of consumption is called the _____ rate.,real risk-free,medium,returns,Pure time value of money.
PMS,Nominal risk-free rate includes expected _____.,inflation,easy,returns,Nominal = real + inflation.
PMS,Required rate of return includes risk _____.,premium,easy,returns,Risk premium added.
PMS,A guaranteed future payment is considered a _____ investment.,risk-free,easy,certainty,No uncertainty involved.
PMS,The return on a risk-free investment is called the _____ rate.,risk-free,easy,returns,Risk-free rate definition.
PMS,Personal financial statements help assess ability to _____.,invest,easy,planning,Used to judge investibility.
PMS,"If income exceeds expenses, the investor has surplus to _____.",invest,easy,planning,Surplus allows investing.
PMS,Nominal rate of return ignores change in purchasing _____.,power,easy,inflation,Purchasing power ignored.
PMS,Real rate of return is calculated by subtracting _____ from nominal rate.,inflation,easy,formula,Real = nominal − inflation.
PMS,Investment rationale of PMS is governed under Regulation _____.,27,medium,SEBI,SEBI PMS Regulations.
PMS,Portfolio managers must align investments with client risk _____.,profile,easy,suitability,Risk profiling required.
PMS,Custom benchmarks are more accurate but more _____.,expensive,easy,cost,Higher maintenance cost.
PMS,Client funds in PMS are maintained in a _____ account.,bank,easy,custody,Bank account maintained.
PMS,SEBI may seek business information during PMS _____.,registration,easy,process,Registration scrutiny.
PMS,Portfolio beta is the _____ average of stock betas.,weighted,easy,formula,Weighted beta calculation.
PMS,Active and passive funds are classified based on management _____.,style,easy,funds,Management approach.
PMS,Portfolio manager cannot invest in _____ shares under discretionary PMS.,unlisted,medium,restriction,Unlisted shares prohibited.
PMS,PMS operating expenses cannot exceed _____% per annum.,0.50,hard,limit,Expense cap excluding brokerage.
PMS,Advertisements claiming compliance with GIPS must include specific information to ensure Transparency and consistency.,Transparency,Medium,Openness in communication.,Specific guidelines are required so that all advertisements provide comparable and clear information. [cite: 1]
PMS,An advertisement must show the total return of a Composite Benchmark that is relevant to the investment,Composite Benchmark,Medium,A yardstick or standard.,This allows potential clients to compare the advertised performance against a standard reference. [cite: 1]
PMS,The benchmark shown in an advertisement should cover the Same time periods as the performance being advertised.,Same,Medium,Identical or matching.,Matching time periods ensures a fair and accurate comparison of performance. [cite: 1]
PMS,Advertisements must specify the Currency used to express performance results.,Currency,Medium,"USD, INR, EUR, etc",This ensures clarity for clients in different countries who might compare various performances. [cite: 1]
PMS,GIPS requires advertisements to include annual composite performance returns for at least the past Five years,Five,Medium,A half-decade.,Providing five years of data helps evaluate the consistency and reliability of the investment over a significant period. [cite: 1]
PMS,"If an investment composite has existed for less than five years, performance returns should be provided since Inception.",Inception,Medium,The start date.,"For newer funds, the entire history from the start date is required. [cite: 1, 2]"
PMS,The application for PMS registration typically does NOT inquire about Forecasting models used for investment research.,Forecasting models,Hard,Predictive mathematical tools.,SEBI focuses on infrastructure and ethics rather than the specific proprietary math models used for research. [cite: 1]
PMS,"During registration, SEBI focuses on the presence of Grievance redressal mechanisms.",Grievance,Medium,Handling complaints.,Ensuring a system is in place to handle client complaints is a core requirement. [cite: 1]
PMS,A Portfolio Manager must show adherence to Accounting systems during registration.,Accounting,Medium,Keeping financial records.,Proper bookkeeping and accounting systems are mandatory for transparency. [cite: 1]
PMS,SEBI may ask for business information regarding the integrity of Third-party service providers such as stock brokers.,Third-party service providers,Medium,External partners,SEBI ensures that the brokers and other partners the PM works with are reliable. [cite: 1]
PMS,A Portfolio Manager shall NOT borrow funds or securities on behalf of the Client,Client,Medium,The investor.,"SEBI ""Dos and Don'ts"" prohibit leveraging the client's account this way. [cite: 1]"
